Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Pos Con,,,
Max Conc,Exp Time,Temp,Cell Viab
7,30,25.4,1.0779875470973
7,30,25.4,1.0456717564192
7,60,25.15,1.0150869819594
7,60,25.15,0.92899274485202
7,60,25.15,0.94701412232994
7,60,25.15,1.0344040811409
7,60,25.15,0.94746613773137
10,5,27,0.99291829898932
10,5,27,0.98215202089901
10,5,27,0.89172459304091
10,5,27,0.96555324602036
10,5,27,0.74811403848704
10,10,27,0.66985782186479
10,10,27,0.82641641238691
10,10,27,0.77967015782806
10,10,27,0.66195435242596
10,10,27,0.73326056923566
10,30,27,0.18691948299882
10,30,27,0.34186819691962
10,30,27,0.30648075312203
10,30,27,0.37237099386484
10,30,27,0.39389521754199
10,30,27,0.29031675508448
10,60,27.1,0.040860100560182
10,60,27.1,0.1022038797754
10,60,27.1,0.067891351248887
10,60,27.1,0.023750465661977
10,60,27.1,0.10500023529507
FA,,,
Max Conc,Exp Time,Temp,Cell Viab
1,5,23.9,1.0653358132029
1,5,23.9,0.85797511231207
1,5,23.9,0.84328330759312
1,5,23.9,1.0436919384469
1,5,23.9,0.81598092923175
1,10,26.6,1.0222635004989
1,10,26.6,1.027149668293
1,10,26.6,1.1327452453539
1,10,26.6,1.1523750270459
1,10,26.6,0.79553722644551
1,30,26.8,0.86530529288527
1,30,26.8,0.89969343725135
1,30,26.8,1.0915774664734
1,30,26.8,1.1369776141272
1,30,26.8,0.8884315260461
1,30,26.8,0.77288574849011
1,60,26.8,1.1248799443114
1,60,26.8,0.9468430537575
1,60,26.8,1.0193512479668
1,60,26.8,1.0184646607428
1,60,26.8,0.74161912863917
3,5,24.9,0.59089913446629
3,5,24.9,0.66312077169342
3,5,24.9,0.73373227157415
3,5,24.9,0.60811724170471
3,5,24.9,0.78886136423004
3,10,25.5,0.58011414413719
3,10,25.5,0.66180582519821
3,10,25.5,0.5001603278914
3,10,25.5,0.52553353426325
3,10,25.5,0.66868713062174
3,30,25,0.49568609735353
3,30,25,0.31911046600695
3,30,25,0.32073715650082
3,30,25,0.4169322454538
3,30,25,0.5137659758051
3,60,24.9,0.27393798390365
3,60,24.9,0.24862045498089
3,60,24.9,0.32117977321878
3,60,24.9,0.3106530481197
3,60,24.9,0.31847879321436
5,5,22.9,0.24775933345458
5,5,22.9,0.24915310245502
5,5,22.9,0.28567473626632
5,5,22.9,0.27297676702179
5,5,22.9,0.27830596797991
5,5,22.9,0.17916515770047
5,10,25.3,0.19829590548822
5,10,25.3,0.27257126911149
5,10,25.3,0.23606450000194
5,10,25.3,0.28901609374242
5,10,25.3,0.22351395161271
5,30,25.1,0.084954813094567
5,30,25.1,0.14954928064033
5,30,25.1,0.14968238798337
5,30,25.1,0.14978213140293
5,30,25.1,0.11544184647456
5,60,24.3,0.050035601681025
5,60,24.3,0.049785285811257
5,60,24.3,0.035896492762539
5,60,24.3,0.038352935109246
5,60,24.3,0.039048019444678
7,5,24.1,0.12124867615307
7,5,24.1,0.12013215417577
7,5,24.1,0.12516535818259
7,5,24.1,0.10602024397645
7,5,24.1,0.089182758870328
7,10,26.5,0.087874328581692
7,10,26.5,0.072113186785916
7,10,26.5,0.11007411848217
7,10,26.5,0.074948521769123
7,10,26.5,0.091163914785105
7,30,25.4,0.0050967368163004
7,30,25.4,0.0036751880190626
7,30,25.4,0.0012945103733319
7,30,25.4,0.0058043706820911
7,30,25.4,0.0061263840825721
7,60,25.15,0.0037651911640417
7,60,25.15,0.0053479405013938
7,60,25.15,0.0047955112546749
7,60,25.15,0.0035700685284121
7,60,25.15,0.0043588453992138
10,5,27,-0.0017045667027389
10,5,27,0.00043473507590175
10,5,27,-0.00018745727852255
10,5,27,-0.001535453993914
10,5,27,-0.0028229192630114
10,10,27,-0.00092723521706638
10,10,27,-0.00073740729300313
10,10,27,-0.0016103281651018
10,10,27,-0.0013575259767228
10,10,27,-0.0029866823051256
10,30,27,-0.00090005071837201
10,30,27,0.0021255398263129
10,30,27,7.3878111583556E-7
10,30,27,-0.0015430551493777
10,30,27,-0.00090086202391653
10,60,27.1,-0.00068519758157882
10,60,27.1,-0.00053919353327598
10,60,27.1,-0.0012538423692418
10,60,27.1,-0.00064755038892298
10,60,27.1,-0.0046360240686066
Gly + DMSO,,,
Max Conc,Exp Time,Temp,Cell Viab
1,5,23.9,0.92020176228767
1,5,23.9,0.9658248323596
1,5,23.9,0.99547972469723
1,5,23.9,0.83947866354644
1,5,23.9,0.72268939260177
1,10,26.6,1.0145734519622
1,10,26.6,0.94796634659512
1,10,26.6,1.1872120020671
1,10,26.6,1.0028561745208
1,10,26.6,0.98452591910209
1,30,26.8,1.3889705656006
1,30,26.8,0.76145136010333
1,30,26.8,0.81770912680366
1,30,26.8,0.86144158343114
1,30,26.8,1.0581822529883
1,60,26.8,1.1125484492214
1,60,26.8,1.057694327523
1,60,26.8,1.058701498055
1,60,26.8,0.92141152514077
1,60,26.8,1.0309556144608
3,5,24.9,0.96633700909472
3,5,24.9,0.85073563405871
3,5,24.9,1.0675766748111
3,5,24.9,0.93087499037175
3,5,24.9,1.0687486555646
3,10,25.5,0.98070341301667
3,10,25.5,1.0615653406043
3,10,25.5,0.97037285754108
3,10,25.5,0.83787352852081
3,10,25.5,1.0848622316485
3,30,25,0.95889870687082
3,30,25,0.98699824188833
3,30,25,0.85129320419742
3,30,25,0.96321569935425
3,30,25,0.98062701349191
3,60,24.9,0.18747259334258
3,60,24.9,1.0137896491861
3,60,24.9,1.0193911785354
3,60,24.9,0.95120072215175
3,60,24.9,1.065663195728
5,5,22.9,1.0642804471458
5,5,22.9,0.83907388946253
5,5,22.9,1.0096561534642
5,5,22.9,1.1467095914135
5,5,22.9,0.98337837376715
5,10,25.3,0.84364047748225
5,10,25.3,1.0439742674871
5,10,25.3,0.94865229358309
5,10,25.3,0.88458084603765
5,10,25.3,0.90194437926889
5,30,25.1,0.85725046053522
5,30,25.1,0.93494495833864
5,30,25.1,0.84876455739234
5,30,25.1,0.80529841951343
5,30,25.1,0.95413377575942
5,60,24.3,0.65323405825202
5,60,24.3,0.71840864616655
5,60,24.3,1.0374469788477
5,60,24.3,0.70982097992323
5,60,24.3,0.60867672364718
7,5,24.1,0.8373855722132
7,5,24.1,0.87779331438063
7,5,24.1,0.86178521343635
7,5,24.1,0.89770245223692
7,5,24.1,0.90735400525577
7,10,26.5,0.93087712690968
7,10,26.5,0.99353402007865
7,10,26.5,0.88573321391458
7,10,26.5,0.85283011062953
7,10,26.5,0.94349483340177
7,30,25.4,0.7894620396637
7,30,25.4,0.80589246461808
7,30,25.4,0.56173536357081
